Sno.,labels,Bookreviews
1,1,this was the first clive cussler ive ever read but even books like relic and da vinci code were more plausible than this
2,1,i liked the da vinci code a lot
3,1,i liked the da vinci code a lot
4,1,i liked the da vinci code but it ultimatly didnt seem to hold its own
5,1,thats not even an exaggeration and at midnight we went to walmart to buy the da vinci code which is amazing of course
6,1,i loved the da vinci code but now i want something better and different
7,1,i thought da vinci code was great same with kite runner
8,1,the da vinci code is actually a good movie
9,1,i thought the da vinci code was a pretty good book
10,1,the da vinci code is one of the most beautiful movies ive ever seen
11,1,the da vinci code is an amazing book do not get me wrong
12,1,then i turn on the light and the radio and enjoy my da vinci code
13,1,the da vinci code was really good
14,1,i love da vinci code
15,1,i loved da vinci code
16,1,to night the da vinci code and a beautiful mind
17,1,the da vinci code is an awesome book
18,1,thing is i enjoyed the da vinci code
19,1,very da vinci code slash amazing race
20,1,hey i loved the da vinci code
21,1,also loved the da vinci code
22,1,i really enjoyed the da vinci code but thought i would be disappointed in the other books
23,1,i do like angels and demons more then the da vinci code
24,1,the da vinci code was a really good movie
25,1,yeah da vinci code is an awesome movie i liked it pretty interesting
26,1,i really like the da vinci code
27,1,da vinci code is amazing
28,1,the da vinci code was awesome
29,1,the da vinci codes backtory on various religious historical figures and such were interesting at times but im more of scifi girl at heart
30,1,book s EMO_NEG i love the da vinci code
31,1,and then we went to see the da vinci code which was crazy awesome and ian mckellen is my old gay husband
32,1,now some people will say to me joe i liked the da vinci code youre being too hard on dan brown
33,1,i love the da vinci code
34,1,well i did enjoy bridget jones and i loved the da vinci code so this idea appeals to me and it takes chick lit into one of the few arenas that the genre has yet to explore
35,1,i just read da vinci code which was awesome by the way
36,1,the da vinci code is excellent if you read it as normal as you read other novels
37,1,i loved the da vinci code
38,1,i love reading the da vinci code
39,1,im telling you the da vinci code is an awesome book
40,1,then again my opinion may be a bit biased because i loved the da vinci code soundtrack
41,1,and i was quite pleased with my own openmindedness after having loved the da vinci code so much that i was able to get equal enjoyment seeing how the other side reads
42,1,i love the da vinci code
43,1,da vinci code is awesome
44,1,the da vinci code is awesome
45,1,the da vinci code is such an awesome book
46,1,i love the da vinci code
47,1,i loved the da vinci code
48,1,the da vinci code is awesome
49,1,oh so beautiful da vinci code
50,1,i loved the da vinci code
51,1,the da vinci code is an awesome book
52,1,da vinci code is an awesome book
53,1,i miss ripping acoustic music and the da vinci code
54,1,personally i neither hate nor love the da vinci code
55,1,looks amazingly fun and possibly a bit cold dont tell anyone but da vinci code is an awesome book
56,1,da vinci code is of course a awesome book but you will figure that out on page
57,1,i love the da vinci code
58,1,i loved the da vinci code
59,1,but seriously the da vinci code is an awesome book
60,1,da vinci code is awesome
61,1,i love the da vinci code
62,1,the da vinci code is awesome
63,1,omg i love the da vinci code that is such an awesome book
64,1,the da vinci code is an awesome book
65,1,the da vinci code is still one of the most awesomest books ive ever read
66,1,i did love the da vinci code though
67,1,the da vinci code is awesome
68,1,i love the da vinci code too
69,1,shit i love the da vinci code
70,1,the da vinci code really is a awesome book you also got the other two books by dan brown
71,1,the da vinci code was an awesome book i just finished it
72,1,da vinci code is awesome
73,1,i love the da vinci code
74,1,i love the da vinci code
75,1,i love the da vinci code
76,1,damn i love da vinci code
77,1,the da vinci code was fucking awesome
78,1,the da vinci code was awesome
79,1,da vinci code was awesome and sounds more probable to me than half the crap fr
80,1,i loved the da vinci code and the like
81,1,da vinci codethat was awesome
82,1,i loved the da vinci code but it raises a lot of theological questions most of which are very absurd
83,1,the da vinci code is an awesome book
84,1,yeah the da vinci code is awesome
85,1,the da vinci code is awesome though
86,1,i love the da vinci code
87,1,the da vinci code is an awesome book
88,1,aaron s mom and aaron knew how much i loved the da vinci code so we took the tour inside
89,1,da vinci code is awesome
90,1,i loved the da vinci code
91,1,the da vinci code is awesome
92,1,id love to go see da vinci code but probably not next week
93,1,the da vinci code was awesome
94,1,im sick of books right now but i must say da vinci code was awesome
95,1,finished reading the da vinci code which is an awesome book
96,1,that and the da vinci code is awesome so far
97,1,i love the da vinci code
98,1,and da vinci code is awesome
99,1,i read angels demons first and am now onto the da vinci code which so far is awesome
100,1,da vinci code is an awesome book
101,1,da vinci code is awesome
102,1,read the da vinci code is awesome but angel and demons is even better if you wanna read dan browns books
103,1,the da vinci code is awesome
104,1,oh oh oh and i loved the da vinci code
105,1,i love the da vinci code
106,1,the da vinci code is awesome
107,1,and i love da vinci codeillustrated edition is the only way to go EMO_POS
108,1,i loved the da vinci code and i cant wait for the movie
109,1,i loved da vinci code recently
110,1,love the da vinci code
111,1,to their right also read and loved the da vinci code
112,1,i loved da vinci code
113,1,and i love reading da vinci code
114,1,and i love da vinci code too
115,1,and i love da vinci code too
116,1,da vinci code looks so awesome
117,1,i finished the da vinci code that was an awesome book
118,1,the da vinci code was pretty awesome but i liked angels and demons
119,1,i loved reading da vinci code cant wait for the movie to come out
120,1,i love the da vinci code
121,1,the da vinci code really is an awesome book and you should all go get it
122,1,i loved the da vinci code and i thought angels demons was pretty good right up until the end where he kind of lost it a bit
123,1,i totally love the da vinci code and i ca nt wait until the movie
124,1,personally i loved the da vinci code its a great thriller
125,1,i love the da vinci code
126,1,the da vinci codeit was awesome
127,1,and the da vinci code is an awesome book
128,1,da vinci code is an awesome book
129,1,the da vinci code is awesome
130,1,i loved the da vinci code
131,1,i loved the da vinci codevery interesting to think about things from a different angle
132,1,da vinci code is a friggin awesome book
